year,month,day,time,timezone,rain,snow,air_temperature,ground_temperature,highest_temperature,lowest_temperature,place,place_code,latitude,longitude
2020,1,1,00:00,UTC,0,0,1.0,-4.0,2.9,-2.5,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,2,00:00,UTC,0,0,2.9,-0.4,4.2,1.0,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,3,00:00,UTC,0.8,0,4.3,2.8,5.4,3.8,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,4,00:00,UTC,0.1,0,1.0,-2.5,4.4,-0.8,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,5,00:00,UTC,4.0,0,-2.1,-1.9,1.8,-6.6,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,6,00:00,UTC,0.7,6.0,0.8,-5.4,1.0,-4.7,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,7,00:00,UTC,1.2,0,4.2,0.5,5.3,0.8,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,8,00:00,UTC,3.2,0,5.2,3.3,7.1,3.9,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,9,00:00,UTC,0,0,1.7,0.4,7.1,0.0,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,10,00:00,UTC,0,0,-3.2,-7.9,0.1,-4.6,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,11,00:00,UTC,8.0,0,-1.5,-10.8,3.1,-6.7,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,12,00:00,UTC,0.5,0,4.9,1.5,5.9,2.1,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,13,00:00,UTC,0,0,0.8,-3.7,5.1,-1.1,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,14,00:00,UTC,5.2,0,2.6,-0.2,3.7,0.9,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,15,00:00,UTC,9.3,0,5.9,1.6,7.6,2.3,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,16,00:00,UTC,0.2,0,4.7,3.0,6.9,3.5,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,17,00:00,UTC,0.0,0,3.5,-0.5,5.2,1.4,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,18,00:00,UTC,2.9,0,3.3,-0.1,4.8,1.2,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,19,00:00,UTC,0.1,0,3.4,2.6,5.1,1.9,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,20,00:00,UTC,0.1,0,2.8,0.4,3.7,0.4,Helsinki-Vantaa Airport,100968,60.3267,24.95675
2020,1,21,00:00,UTC,0.0,0,5.0,1.7,7.6,2.4,Helsinki-Vantaa Airport,100968,60.3267,24.95675
